startDate,venue_id,seq,league_id,season_id,cluster_id,activeFlag
2010-09-09T08:54:52,1001,1,11001,1,4001,False
2010-09-09T09:54:02,1001,2,11001,1,37001,False
2010-09-09T10:03:37,1001,3,11001,1,54001,False
2010-09-16T06:02:02,1001,6,11001,1,67002,False
2010-09-16T03:14:06,1001,4,11001,1,69001,False
2010-09-24T03:18:36,1001,9,11001,1,94005,False
2010-09-16T04:10:41,1001,5,11001,1,103001,False
2010-09-17T03:45:58,1001,7,11001,1,114003,False
2010-09-24T04:12:01,1001,10,11001,1,133003,False
2010-09-17T04:39:51,1001,8,11001,1,137001,False
2010-10-01T04:02:42,1001,11,11001,1,161001,False
2010-10-07T04:06:26,1001,16,11001,1,169003,False
2010-10-01T04:58:13,1001,12,11001,1,194002,False
2010-10-07T03:07:28,1001,14,11001,1,220002,False
2010-10-13T03:09:29,1001,17,11001,1,244001,False
2010-10-28T04:21:57,1001,18,11001,1,280001,False
2010-10-28T05:23:16,1001,19,11001,1,323001,False
2010-10-28T06:21:29,1001,20,11001,1,338002,False
2010-11-11T04:36:58,1001,20,11001,1,369001,False
2010-11-11T05:33:30,1001,22,11001,1,412001,False
2010-11-21T01:29:20,1001,23,11001,1,443001,False
2010-11-21T06:50:35,1001,24,11001,1,481001,False
2010-12-04T01:57:08,1001,25,11001,1,514001,False
2010-12-04T04:37:01,1001,26,11001,1,551001,False
2010-12-04T05:53:06,1001,27,11001,1,580001,False
2010-12-11T01:43:17,1001,28,11001,1,600001,False
2010-12-11T02:37:38,1001,29,11001,1,650001,False
2011-01-06T03:34:37,1001,30,11001,1,687001,False
2011-01-06T04:56:29,1001,31,11001,1,729001,False
2011-01-13T04:47:29,1001,30,11001,1,764001,False
2011-05-06T04:50:58,1001,1,11001,811001,812001,False
2011-05-06T05:39:31,1001,2,11001,811001,818004,False
2011-05-20T03:59:36,1001,3,11001,811001,821002,False
2010-09-25T20:12:32,1001,1,16001,1,7001,False
2011-03-20T07:12:39,80001,2,16001,1,81001,False
2011-03-20T08:10:04,80001,3,16001,1,81037,False
2011-08-27T22:33:55,94001,4,16001,1,93002,False
2012-02-18T18:35:38,80001,1,16001,103001,104001,False
2013-02-17T23:18:06,113001,1,16001,115001,117001,True
2010-09-26T00:00:31,1001,1,17001,1,6001,True
2011-01-15T18:41:46,24001,2,17001,23001,22002,True
2011-01-15T18:05:13,24001,1,17001,23001,25001,True
2011-05-07T19:45:25,141002,3,17001,23001,143001,True
2011-05-08T03:01:06,141002,4,17001,23001,155021,True
2011-06-04T22:49:58,141002,5,17001,23001,167001,True
2011-08-28T03:09:09,172002,6,17001,23001,173001,False
2013-02-17T23:36:47,181001,1,17001,183001,184001,True
2010-09-26T00:15:26,1001,1,18001,1,6001,True
2011-06-05T00:22:28,33001,1,18001,32001,35001,False
2010-10-17T00:04:38,1001,1,19001,1,4001,False
2010-10-17T01:48:57,1001,2,19001,1,42001,False
2010-10-17T01:02:05,1001,1,20001,1,4001,True
