d1,d2,ct,f1,f2,f3,f4,pts,ppr
Bowser Jr.,Koopa,166,31,43,52,40,397,2.3916
Diddy Kong,Toadette,145,63,45,19,18,443,3.0552
Diddy Kong,Paratroopa,130,33,32,38,27,331,2.5462
Diddy Kong,Koopa,124,40,31,30,23,336,2.7097
Bowser Jr.,Paratroopa,95,11,22,37,25,209,2.2
Baby Mario,Toadette,90,31,20,18,21,241,2.6778
Baby Luigi,Toad,85,20,20,25,20,210,2.4706
Toad,Waluigi,80,19,23,16,22,199,2.4875
Bowser Jr.,Toadette,76,27,18,20,11,213,2.8026
Koopa,Toad,75,22,26,14,13,207,2.76
Bowser Jr.,Toad,65,17,16,16,16,164,2.5231
Baby Mario,Paratroopa,58,5,17,22,14,129,2.2241
Paratroopa,Toadette,56,18,16,14,8,156,2.7857
Baby Mario,Toad,55,19,18,12,6,160,2.9091
Baby Luigi,Toadette,50,19,11,10,10,139,2.78
Diddy Kong,Waluigi,46,13,13,10,10,121,2.6304
Paratroopa,Waluigi,45,6,12,10,17,97,2.1556
Toadette,Waluigi,45,9,13,14,9,112,2.4889
Diddy Kong,Toad,42,19,9,4,10,121,2.881
Baby Luigi,Paratroopa,40,3,12,11,14,84,2.1
Baby Luigi,Koopa,36,9,10,9,8,92,2.5556
Bowser Jr.,Yoshi,30,2,7,8,13,58,1.9333
Koopa,Toadette,30,16,3,6,5,90,3.0
Paratroopa,Toad,30,9,3,11,7,74,2.4667
Paratroopa,Yoshi,26,3,5,6,12,51,1.9615
Koopa,Peach,25,0,2,4,19,33,1.32
Koopa,Paratroopa,22,4,5,7,6,51,2.3182
Bowser Jr.,Peach,20,2,3,2,13,34,1.7
Bowser Jr.,Waluigi,20,3,7,5,5,48,2.4
Luigi,Waluigi,20,6,6,5,3,55,2.75
Peach,Toad,20,4,4,4,8,44,2.2
Toad,Yoshi,20,3,0,9,8,38,1.9
Koopa,Waluigi,14,1,2,3,8,24,1.7143
Baby Luigi,Wario,12,0,1,4,7,18,1.5
Baby Luigi,Baby Mario,10,0,2,1,7,15,1.5
Baby Luigi,Bowser Jr.,10,0,0,4,6,14,1.4
Baby Mario,Bowser Jr.,10,1,4,1,4,22,2.2
Baby Mario,Koopa,10,1,3,2,4,21,2.1
Bowser Jr.,Diddy Kong,10,0,6,3,1,25,2.5
Daisy,Toad,10,0,3,3,4,19,1.9
Daisy,Waluigi,10,1,2,2,5,19,1.9
Mario,Toad,10,3,3,3,1,28,2.8
Mario,Waluigi,10,2,1,4,3,22,2.2
Peach,Waluigi,10,0,1,3,6,15,1.5
Toad,Toadette,10,7,1,1,1,34,3.4
Baby Mario,Diddy Kong,5,0,1,0,4,7,1.4
