d1,d2,ct
Bowser Jr.,Koopa,416
Diddy Kong,Koopa,254
Paratroopa,Toad,237
Baby Mario,Paratroopa,236
Diddy Kong,Paratroopa,224
Diddy Kong,Waluigi,174
Diddy Kong,Toadette,145
Bowser Jr.,Paratroopa,126
Baby Mario,Toadette,106
Bowser Jr.,Toad,90
Koopa,Toad,90
Baby Luigi,Toad,85
Toad,Waluigi,80
Bowser Jr.,Toadette,76
Koopa,Paratroopa,70
Paratroopa,Toadette,56
Baby Mario,Toad,55
Bowser Jr.,Waluigi,52
Baby Luigi,Toadette,50
Paratroopa,Waluigi,45
Toadette,Waluigi,45
Diddy Kong,Toad,42
Baby Luigi,Paratroopa,40
Koopa,Toadette,37
Baby Luigi,Koopa,36
Bowser Jr.,Peach,36
Bowser Jr.,Yoshi,30
Paratroopa,Yoshi,26
Bowser Jr.,Diddy Kong,25
Koopa,Peach,25
Luigi,Waluigi,20
Peach,Toad,20
Toad,Yoshi,20
King Boo,Waluigi,16
Bowser Jr.,Wario,14
Koopa,Waluigi,14
Baby Luigi,Wario,12
Baby Luigi,Baby Mario,10
Baby Luigi,Bowser Jr.,10
Baby Mario,Bowser Jr.,10
Baby Mario,Koopa,10
Daisy,Toad,10
Daisy,Waluigi,10
Mario,Toad,10
Mario,Waluigi,10
Peach,Waluigi,10
Toad,Toadette,10
Baby Mario,Diddy Kong,5
